full_name,position,nationality,goals_overall
Aron Einar Gunnarsson,Midfielder,Iceland,1
Beram Kayal,Midfielder,Israel,1
Bernard Anício Caldeira Duarte,Midfielder,Brazil,1
Christian Atsu Twasam,Midfielder,Ghana,1
Dale Stephens,Midfielder,England,1
Davy Pröpper,Midfielder,Netherlands,1
Domingos Quina,Midfielder,Portugal,1
Etienne Capoue,Midfielder,France,1
Fabinho,Midfielder,Brazil,1
Fernando Luiz Rosa,Midfielder,Brazil,1
Floyd Ayité,Midfielder,Togo,1
Francisco Femenía Far,Midfielder,Spain,1
Frederico Rodrigues Santos,Midfielder,Brazil,1
Harry Winks,Midfielder,England,1
Harvey Lewis Barnes,Midfielder,England,1
Hélder Wander Sousa Azevedo Costa,Midfielder,Portugal,1
Isaac Hayden,Midfielder,England,1
Jack Cork,Midfielder,England,1
Jean Michau00ebl Seri,Midfielder,Ivory Coast,1
João Moutinho,Midfielder,Portugal,1
Jonjo Shelvey,Midfielder,England,1
Jordan Henderson,Midfielder,England,1
Jordon Ibe,Midfielder,England,1
Juninho Bacuna,Midfielder,Netherlands,1
Kadeem Harris,Midfielder,England,1
Ken Sema,Midfielder,Sweden,1
Manuel Lanzini,Midfielder,Argentina,1
Mario Lemina,Midfielder,Gabon,1
Max Meyer,Midfielder,Germany,1
Nemanja Matić,Midfielder,Serbia,1
Oriol Romeu,Midfielder,Spain,1
Philip Foden,Midfielder,England,1
Robert Kenedy Nunes do Nascimento,Midfielder,Brazil,1
Ryan Fredericks,Midfielder,England,1
Sean Longstaff,Midfielder,England,1
Solomon March,Midfielder,England,1
Tom Cairney,Midfielder,Scotland,1
Tom Cleverley,Midfielder,England,1
Victor Wanyama,Midfielder,Kenya,1
Alexis Sanchez,Forward,Chile,1
Christian Benteke,Forward,Belgium,1
Danny Ward,Forward,England,1
Danny Welbeck,Forward,England,1
Edward Nketiah,Forward,England,1
Fernando Llorente Torres,Forward,Spain,1
Isaac Ajayi Success,Forward,Nigeria,1
Isaac Mbenza,Forward,Belgium,1
Jordan Ayew,Forward,Ghana,1
Kelechi Iheanacho,Forward,Nigeria,1
Kenneth Dahrup Zohorè,Forward,Denmark,1
Luciano Vietto,Forward,Argentina,1
Lys Mousset,Forward,France,1
Manolo Gabbiadini,Forward,Italy,1
Matěj Vydra,Forward,Czech Republic,1
Michael Obafemi,Forward,Republic of Ireland,1
Rachid Ghezzal,Forward,Algeria,1
Yoshinori Muto,Forward,Japan,1
Adrián San Miguel del Castillo,Goalkeeper,Spain,0
Alex McCarthy,Goalkeeper,England,0
Alex Smithies,Goalkeeper,England,0
Alfie Whiteman,Goalkeeper,England,0
Alisson Becker,Goalkeeper,Brazil,0
Angus Gunn,Goalkeeper,England,0
Arijanet Muric,Goalkeeper,Montenegro,0
